SnapshotID,HospitalID,DeptID,SnapshotDate,BedOccupancyRate,EquipmentUtilizationRate,StaffUtilizationRate,ERWaitTimeMinutes
1684,3,18,2025-06-14,0.77,0.24,0.61,2
1685,1,8,2021-12-08,0.9,0.19,0.67,25
1686,6,48,2022-12-12,0.36,0.77,0.75,4
1687,4,26,2024-09-22,0.35,0.31,0.95,9
1688,8,62,2023-09-22,0.39,0.55,0.92,9
1689,10,80,2023-11-10,0.52,0.63,0.74,23
1690,6,47,2025-02-05,0.74,0.37,0.94,1
1691,8,60,2023-05-31,0.59,0.58,0.91,1
1692,9,69,2020-03-30,0.32,0.93,0.4,18
1693,5,34,2024-08-16,0.37,0.41,0.42,16
1694,2,15,2020-09-17,0.38,0.6,0.34,5
1695,2,14,2025-06-12,0.96,0.14,0.93,75
1696,7,52,2023-08-27,0.4,0.37,0.75,82
1697,2,10,2021-12-30,0.49,0.52,0.42,9
1698,2,11,2025-04-28,0.77,0.12,0.59,14
1699,3,18,2022-09-28,0.24,0.39,0.45,0
1700,8,63,2024-08-12,0.5,0.5,0.72,51
1701,6,46,2024-04-21,0.26,0.19,0.66,14
1702,1,4,2021-11-22,0.86,0.31,0.64,7
1703,9,66,2021-05-18,0.65,0.64,0.44,6
1704,1,4,2023-09-16,0.93,0.38,0.68,74
1705,2,13,2024-05-05,0.6,0.23,0.69,38
1706,2,11,2024-05-18,0.66,0.7,0.68,128
1707,9,71,2023-01-29,0.36,0.6,0.31,3
1708,3,19,2021-02-16,0.4,0.76,0.6,6
1709,4,29,2025-03-19,0.28,0.69,0.51,0
1710,7,54,2021-01-19,0.73,0.33,0.41,10
1711,6,46,2024-05-16,0.77,0.56,0.86,30
1712,9,72,2023-08-22,0.27,0.47,0.86,19
1713,2,12,2024-09-11,0.21,0.65,0.72,36
1714,8,64,2025-09-14,0.46,0.25,0.44,46
1715,6,48,2023-08-05,0.69,0.51,0.46,31
1716,6,48,2022-02-28,0.34,0.36,0.88,25
1717,8,62,2025-10-10,0.84,0.9,0.91,16
1718,7,52,2024-02-18,0.88,0.72,0.33,52
1719,8,60,2023-09-04,0.35,0.95,0.94,30
1720,1,5,2025-08-06,0.94,0.13,0.52,21
1721,2,16,2023-07-31,0.24,0.27,0.82,18
1722,1,1,2024-10-27,0.99,0.14,0.92,44
1723,9,68,2022-01-04,0.28,0.77,0.48,14
1724,7,55,2025-04-01,0.89,0.46,0.56,52
1725,6,45,2023-10-19,0.4,0.27,0.59,8
1726,9,69,2021-03-15,0.34,0.34,0.91,8
1727,2,15,2023-01-19,0.22,0.7,0.62,42
1728,4,27,2021-02-24,0.7,0.24,0.32,15
1729,10,79,2023-08-01,0.51,0.61,0.65,28
1730,3,24,2025-06-12,0.71,0.29,0.61,67
1731,9,68,2025-09-30,0.65,0.42,0.45,20
1732,8,63,2023-06-27,0.36,0.59,0.92,0
1733,6,44,2022-03-11,0.43,0.41,0.31,0
1734,5,34,2020-06-13,0.27,0.92,0.66,3
1735,9,69,2023-08-06,0.59,0.92,0.5,40
1736,4,28,2020-10-27,0.49,0.64,0.33,32
1737,1,2,2023-07-19,0.49,0.77,0.37,2
1738,8,63,2020-06-16,0.2,0.28,0.42,8
1739,9,71,2022-03-10,0.22,0.7,0.83,15
1740,5,34,2022-07-08,0.92,0.49,0.46,4
1741,10,77,2025-08-31,0.2,0.58,0.37,3
1742,5,40,2021-08-06,0.62,0.23,0.78,12
1743,5,33,2023-05-09,0.27,0.42,0.34,29
1744,2,15,2025-01-16,0.42,0.11,0.34,14
1745,5,36,2022-03-02,0.82,0.61,0.55,122
1746,5,33,2024-04-30,0.48,0.42,0.41,18
1747,1,2,2023-06-19,0.29,0.42,0.68,52
1748,9,67,2023-06-27,0.67,0.74,0.94,18
1749,10,73,2023-12-02,0.9,0.92,0.68,10
1750,7,56,2023-11-10,0.5,0.71,0.59,28
1751,2,16,2024-02-08,0.38,0.93,0.58,26
1752,7,53,2023-12-17,0.61,0.26,0.73,7
1753,4,29,2023-10-08,0.77,0.71,0.35,41
1754,9,72,2020-06-27,0.79,0.83,0.77,11
1755,3,20,2025-06-21,0.67,0.1,0.93,19
1756,1,5,2024-05-30,0.72,0.2,0.45,32
1757,6,41,2023-02-01,0.56,0.89,0.45,24
1758,7,56,2024-02-03,0.52,0.61,0.71,157
1759,4,26,2023-01-23,0.32,0.55,0.75,167
1760,2,13,2020-09-10,0.98,0.4,0.6,54
1761,8,62,2022-01-28,0.34,0.53,0.72,9
1762,1,8,2023-01-03,0.49,0.25,0.54,5
1763,1,5,2024-05-16,0.59,0.78,0.67,16
1764,9,67,2021-01-05,0.46,0.54,0.35,4
1765,8,57,2023-05-10,0.66,0.59,0.73,8
1766,2,10,2022-06-04,0.78,0.6,0.51,11
1767,4,30,2020-10-04,0.53,0.24,0.3,17
1768,8,62,2023-05-28,0.29,0.88,0.92,37
1769,1,5,2024-12-10,0.73,0.39,0.76,21
1770,8,58,2023-11-20,0.32,0.32,0.45,143
1771,1,4,2022-04-25,0.33,0.44,0.34,34
1772,8,57,2025-07-07,0.51,0.6,0.82,8
1773,9,70,2023-03-27,0.31,0.37,0.38,96
1774,3,18,2025-04-21,0.73,0.16,0.81,2
1775,4,31,2023-03-11,0.25,0.74,0.67,13
1776,6,48,2025-07-07,0.9,0.35,0.69,6
1777,2,13,2021-09-23,0.35,0.8,0.71,67
1778,6,44,2024-09-03,0.67,0.9,0.9,11
1779,5,34,2022-11-20,0.39,0.79,0.48,18
1780,10,76,2024-07-23,0.7,0.13,0.37,85
1781,10,80,2022-03-05,0.52,0.88,0.62,11
1782,5,34,2023-04-14,0.93,0.36,0.34,23
1783,9,69,2025-01-14,0.39,0.44,0.3,0
1784,4,30,2025-04-14,0.93,0.94,0.83,112
1785,8,62,2022-06-12,0.84,0.23,0.85,78
1786,1,8,2021-03-23,0.44,0.88,0.59,39
1787,9,65,2024-01-19,0.86,0.33,0.55,20
1788,7,50,2023-04-26,0.87,0.9,0.92,34
1789,1,3,2020-05-22,0.42,0.21,0.75,13
1790,1,1,2023-01-19,0.95,0.27,0.32,43
1791,4,30,2021-02-26,0.45,0.19,0.86,4
1792,7,49,2022-06-21,0.81,0.19,0.38,13
1793,2,9,2022-10-25,0.82,0.69,0.48,23
1794,10,73,2025-05-22,0.84,0.79,0.58,22
1795,1,5,2024-03-23,0.87,0.4,0.32,1
1796,4,32,2021-04-21,0.26,0.14,0.87,6
1797,4,29,2021-03-09,0.87,0.89,0.32,26
1798,10,77,2022-09-27,0.77,0.64,0.49,63
1799,5,36,2022-06-19,0.98,0.9,0.82,35
1800,8,61,2021-04-23,0.99,0.16,0.31,5
1801,3,19,2020-12-12,0.63,0.37,0.32,13
1802,7,54,2025-05-22,0.25,0.41,0.92,14
1803,3,17,2025-05-26,0.26,0.63,0.3,30
1804,9,69,2020-07-02,0.96,0.2,0.55,20
1805,6,47,2020-09-01,0.82,0.32,0.52,22
1806,1,1,2025-05-11,0.91,0.63,0.56,14
1807,8,63,2021-05-24,0.98,0.4,0.72,59
1808,3,20,2022-07-12,0.76,0.48,0.82,4
1809,9,67,2023-02-28,0.54,0.13,0.59,8
1810,5,40,2025-06-02,0.88,0.1,0.74,71
1811,8,61,2022-05-17,0.41,0.42,0.84,14
1812,1,5,2023-05-09,0.78,0.75,0.91,1
1813,2,9,2024-01-26,0.42,0.47,0.48,15
1814,10,80,2021-09-09,0.27,0.41,0.48,22
1815,8,60,2022-06-15,0.62,0.77,0.44,43
1816,9,69,2025-04-20,0.72,0.4,0.71,10
1817,3,19,2022-03-07,0.39,0.95,0.67,52
1818,9,67,2020-11-25,0.68,0.54,0.51,31
1819,10,79,2020-10-28,0.34,0.71,0.3,28
1820,5,33,2025-08-08,0.96,0.6,0.52,23
1821,4,26,2020-07-21,0.4,0.49,0.62,9
1822,7,53,2021-09-19,0.89,0.36,0.62,29
1823,6,44,2023-09-28,0.31,0.83,0.76,23
1824,4,27,2025-01-25,0.62,0.4,0.91,52
1825,9,66,2020-11-06,0.34,0.3,0.85,58
1826,8,63,2021-12-06,0.93,0.28,0.42,29
1827,8,61,2024-04-01,0.62,0.57,0.57,14
1828,4,29,2023-08-27,0.63,0.56,0.36,48
1829,5,38,2020-03-08,0.56,0.61,0.58,41
1830,4,29,2021-04-26,0.87,0.52,0.69,112
1831,9,67,2020-04-23,0.83,0.45,0.41,34
1832,6,46,2025-02-28,0.64,0.59,0.37,4
1833,9,65,2024-06-05,0.38,0.16,0.76,0
1834,5,36,2020-05-14,0.97,0.43,0.88,130
1835,8,63,2025-05-15,0.59,0.36,0.76,8
1836,9,69,2020-07-18,0.56,0.51,0.93,8
1837,3,24,2020-10-29,0.61,0.57,0.33,24
1838,1,3,2021-01-25,0.71,0.74,0.85,2
1839,2,9,2021-04-08,0.83,0.45,0.74,22
1840,5,39,2020-03-03,0.25,0.47,0.4,1
1841,10,80,2025-04-01,0.38,0.31,0.92,11
1842,6,48,2020-08-08,0.34,0.58,0.54,19
1843,9,72,2021-09-07,0.69,0.85,0.68,39
1844,3,20,2021-04-02,0.82,0.26,0.34,6
1845,10,77,2020-11-23,0.27,0.57,0.91,17
1846,4,27,2023-02-23,0.57,0.76,0.32,12
1847,6,44,2022-04-25,0.22,0.57,0.69,7
1848,10,74,2024-08-08,0.32,0.6,0.62,1
1849,1,6,2021-08-14,0.8,0.86,0.95,7
1850,3,24,2020-12-30,0.49,0.71,0.95,21
1851,9,65,2021-04-18,0.27,0.41,0.59,50
1852,5,37,2023-11-19,0.54,0.64,0.84,41
1853,7,54,2025-01-18,0.3,0.45,0.48,33
1854,5,33,2021-08-15,0.68,0.4,0.52,88
1855,8,57,2025-04-11,0.67,0.45,0.94,84
1856,2,10,2021-09-10,0.25,0.71,0.83,1
1857,8,59,2021-02-10,0.9,0.73,0.41,32
1858,2,15,2021-07-14,0.61,0.51,0.52,16
1859,7,51,2025-09-09,0.69,0.53,0.45,39
1860,3,20,2021-08-31,0.96,0.35,0.52,39
1861,4,30,2021-02-27,0.81,0.71,0.58,8
1862,9,68,2021-11-02,0.97,0.7,0.71,4
1863,8,63,2025-07-14,0.58,0.61,0.32,8
1864,8,63,2023-02-14,0.79,0.76,0.32,46
1865,6,45,2022-04-10,0.76,0.6,0.74,41
1866,9,65,2025-10-23,0.74,0.31,0.71,91
1867,3,17,2020-09-21,0.45,0.28,0.39,31
1868,5,35,2020-08-24,0.38,0.48,0.95,32
1869,6,47,2020-12-22,0.34,0.53,0.73,9
1870,1,1,2023-07-29,0.92,0.13,0.95,4
1871,9,68,2021-06-19,0.44,0.75,0.91,11
1872,1,3,2025-02-24,0.2,0.52,0.94,94
1873,8,63,2021-04-12,0.62,0.32,0.81,15
1874,5,36,2023-01-16,0.52,0.4,0.39,5
1875,6,44,2025-09-17,0.39,0.3,0.32,47
1876,2,9,2021-03-03,0.47,0.71,0.41,0
1877,4,30,2020-04-24,0.53,0.24,0.93,40
1878,5,38,2020-09-12,0.32,0.61,0.92,23
1879,10,77,2020-08-27,0.73,0.54,0.74,81
1880,8,59,2021-03-29,0.73,0.87,0.66,15
1881,3,23,2025-05-01,0.46,0.67,0.46,4
1882,4,31,2024-03-28,0.9,0.69,0.85,0
1883,10,77,2024-03-09,0.39,0.49,0.51,50
1884,7,53,2025-08-01,0.87,0.3,0.54,1
1885,9,68,2023-11-23,0.32,0.55,0.43,45
1886,8,58,2024-05-23,0.31,0.34,0.58,20
1887,4,30,2023-11-07,0.49,0.29,0.39,53
1888,10,73,2024-04-06,0.87,0.25,0.32,18
1889,8,59,2023-06-29,0.59,0.25,0.55,23
1890,6,43,2020-08-21,0.62,0.41,0.64,19
1891,9,66,2025-10-25,0.56,0.76,0.49,34
1892,9,72,2020-07-09,0.34,0.37,0.47,1
1893,1,1,2023-02-17,0.62,0.49,0.43,28
1894,9,72,2020-03-13,0.32,0.83,0.87,34
1895,5,33,2020-08-08,0.72,0.82,0.6,91
1896,2,11,2020-02-25,0.31,0.26,0.79,30
1897,8,59,2025-07-10,0.6,0.36,0.87,17
1898,6,43,2022-04-20,0.95,0.4,0.42,9
1899,10,78,2023-05-31,0.54,0.93,0.46,38
1900,1,5,2025-02-19,0.59,0.43,0.95,84
1901,8,63,2020-12-14,0.8,0.68,0.83,28
1902,4,28,2024-08-15,0.41,0.25,0.81,4
1903,10,77,2021-06-19,0.54,0.88,0.83,2
1904,3,17,2023-08-18,0.65,0.34,0.37,25
1905,3,22,2020-01-16,0.49,0.26,0.51,29
1906,1,7,2021-04-23,0.35,0.88,0.67,20
1907,3,17,2021-05-08,0.69,0.28,0.63,47
1908,7,49,2025-08-16,0.2,0.18,0.48,21
1909,1,2,2024-08-15,0.61,0.54,0.75,106
1910,3,17,2025-05-04,0.5,0.23,0.47,2
1911,8,63,2023-01-08,0.31,0.43,0.31,36
1912,4,30,2020-01-08,0.71,0.73,0.9,15
1913,9,70,2022-02-09,0.56,0.91,0.87,15
1914,8,60,2024-04-01,0.53,0.7,0.61,17
1915,1,3,2022-07-26,0.65,0.2,0.32,9
1916,2,16,2021-09-16,0.67,0.72,0.81,21
1917,10,73,2021-10-17,0.39,0.87,0.41,45
1918,6,42,2022-07-20,0.58,0.62,0.88,5
1919,5,34,2022-01-21,0.39,0.31,0.37,7
1920,1,2,2021-10-12,0.44,0.19,0.68,2
1921,3,20,2024-07-18,0.58,0.1,0.62,39
1922,2,12,2022-01-19,0.33,0.66,0.81,6
1923,3,22,2023-08-03,0.61,0.78,0.43,5
1924,3,23,2020-02-25,0.81,0.59,0.69,9
1925,9,69,2025-04-04,0.61,0.59,0.7,65
1926,8,63,2025-01-21,0.89,0.9,0.78,3
1927,9,66,2023-04-15,0.8,0.75,0.36,17
1928,4,26,2025-06-26,0.74,0.16,0.52,4
1929,3,18,2024-04-03,0.34,0.74,0.79,15
1930,6,47,2020-06-27,0.27,0.46,0.45,7
1931,7,55,2025-01-31,0.69,0.44,0.91,0
1932,3,18,2024-08-24,0.73,0.13,0.35,20
1933,6,48,2023-11-16,0.34,0.53,0.88,44
1934,4,25,2024-01-31,0.71,0.95,0.66,51
1935,8,61,2025-05-26,0.68,0.77,0.34,9
1936,9,71,2025-08-21,0.38,0.47,0.82,10
1937,3,17,2020-12-24,0.66,0.19,0.43,70
1938,3,19,2024-03-10,0.22,0.21,0.34,24
1939,9,68,2020-10-21,0.96,0.82,0.46,67
1940,2,11,2023-04-16,0.72,0.73,0.58,12
1941,6,44,2021-12-17,0.96,0.23,0.58,43
1942,10,74,2023-01-26,0.49,0.31,0.31,71
1943,4,30,2025-03-17,0.52,0.86,0.87,34
1944,2,12,2022-03-04,0.75,0.56,0.31,1
1945,9,72,2022-05-30,0.55,0.51,0.93,21
1946,2,16,2021-08-31,0.64,0.28,0.7,98
1947,2,11,2021-02-02,0.89,0.15,0.43,15
1948,2,15,2021-04-26,0.35,0.19,0.78,144
1949,8,59,2022-11-09,0.8,0.64,0.4,13
1950,6,44,2022-08-08,0.36,0.76,0.38,1
1951,10,77,2022-08-20,0.61,0.85,0.74,53
1952,5,33,2021-09-16,0.94,0.46,0.75,26
1953,2,12,2020-11-22,0.53,0.46,0.3,9
1954,7,55,2025-02-18,0.42,0.31,0.93,0
1955,10,73,2025-09-08,0.92,0.73,0.91,5
1956,3,21,2021-03-04,0.64,0.41,0.93,42
1957,5,40,2023-12-10,0.74,0.35,0.7,31
1958,9,71,2024-05-08,0.53,0.95,0.69,23
1959,6,47,2021-11-19,0.74,0.61,0.5,23
1960,3,22,2024-01-02,0.84,0.56,0.95,11
1961,8,63,2020-02-06,0.48,0.18,0.49,23
1962,3,21,2024-03-15,0.44,0.59,0.91,12
1963,9,71,2023-02-21,0.71,0.71,0.33,31
1964,5,33,2023-12-19,0.77,0.73,0.61,29
1965,7,56,2024-11-03,0.34,0.25,0.51,24
1966,9,66,2023-07-26,0.58,0.42,0.59,64
1967,9,69,2024-05-03,0.96,0.19,0.31,16
1968,8,64,2024-12-19,0.74,0.15,0.67,24
1969,2,12,2022-05-31,0.37,0.47,0.81,40
1970,10,79,2023-10-04,0.55,0.65,0.3,0
1971,6,46,2024-04-02,0.91,0.12,0.55,14
1972,3,22,2023-07-07,0.84,0.82,0.7,18
1973,3,24,2024-04-08,0.94,0.85,0.77,161
1974,7,51,2022-06-26,0.28,0.58,0.46,2
1975,8,61,2025-07-16,0.7,0.77,0.71,26
1976,4,31,2021-12-31,0.73,0.29,0.65,9
1977,8,59,2021-05-15,0.95,0.85,0.93,59
1978,4,29,2020-09-12,0.44,0.92,0.41,42
1979,4,29,2023-01-08,0.34,0.88,0.35,20
1980,9,72,2020-07-03,0.63,0.2,0.4,67
1981,2,13,2024-04-08,0.29,0.85,0.44,55
1982,1,7,2024-03-17,0.8,0.13,0.78,1
1983,3,22,2025-10-21,0.72,0.92,0.58,13
1984,10,77,2024-03-27,0.79,0.82,0.48,24
1985,8,64,2022-08-20,0.61,0.78,0.88,2
1986,2,12,2025-04-03,0.48,0.22,0.57,54
1987,5,36,2020-02-21,0.4,0.77,0.91,4
1988,3,21,2022-08-01,0.37,0.15,0.73,54
1989,7,50,2025-08-22,0.42,0.27,0.87,8
1990,4,28,2024-11-17,0.48,0.45,0.87,2
1991,3,24,2023-08-31,0.88,0.2,0.84,42
1992,8,62,2025-07-08,0.25,0.7,0.32,36
1993,5,38,2025-10-07,0.29,0.86,0.42,6
1994,7,55,2023-09-25,0.72,0.86,0.88,72
1995,2,9,2024-06-12,0.37,0.6,0.61,7
1996,4,32,2023-06-22,0.47,0.12,0.84,36
1997,10,74,2022-08-23,0.43,0.2,0.58,36
1998,6,42,2024-08-29,0.23,0.76,0.59,2
1999,10,77,2023-04-18,0.88,0.33,0.6,15
2000,7,52,2021-07-25,0.87,0.71,0.91,7
2001,4,28,2020-07-28,0.22,0.24,0.44,27
2002,3,20,2022-06-24,0.28,0.43,0.75,7
2003,3,23,2022-02-13,0.69,0.3,0.74,33
2004,3,22,2020-04-15,0.97,0.18,0.68,18
2005,4,25,2022-03-01,0.87,0.28,0.5,4
2006,7,50,2025-01-20,0.97,0.37,0.68,50
2007,1,3,2024-12-28,0.23,0.34,0.66,7
2008,7,54,2020-09-13,0.81,0.54,0.35,0
2009,1,6,2025-09-02,0.67,0.58,0.85,4
2010,3,24,2023-03-12,0.56,0.54,0.67,7
2011,3,23,2022-05-11,0.47,0.73,0.75,32
2012,6,46,2024-04-30,0.83,0.9,0.67,9
2013,5,37,2025-07-01,0.49,0.58,0.79,9
2014,1,3,2025-01-23,0.86,0.82,0.7,23
2015,2,14,2021-08-25,0.33,0.91,0.37,3
2016,10,78,2020-05-13,0.2,0.1,0.9,77
2017,3,20,2022-11-18,0.41,0.42,0.45,21
2018,4,30,2024-03-19,0.29,0.11,0.88,25
2019,3,20,2025-08-06,0.67,0.35,0.84,15
2020,6,46,2025-05-17,0.71,0.26,0.85,44
2021,10,80,2024-08-27,0.37,0.46,0.47,43
2022,3,24,2024-03-13,0.23,0.91,0.86,13
2023,3,23,2025-08-16,0.84,0.65,0.9,35
2024,2,16,2024-12-11,0.38,0.72,0.93,1
2025,10,79,2023-09-01,0.93,0.74,0.68,13
2026,9,71,2025-03-17,0.8,0.64,0.65,16
2027,5,33,2023-06-29,0.45,0.83,0.58,8
2028,7,55,2021-08-09,0.43,0.46,0.85,14
2029,10,73,2021-04-12,0.97,0.8,0.93,31
2030,8,63,2025-02-19,0.85,0.13,0.5,4
2031,5,37,2020-01-03,0.46,0.38,0.56,17
2032,5,35,2022-04-03,0.96,0.28,0.56,16
2033,10,73,2025-07-31,0.31,0.77,0.87,1
2034,9,70,2022-02-08,0.98,0.8,0.55,58
2035,1,1,2020-06-09,0.34,0.14,0.79,0
2036,1,3,2020-08-22,0.74,0.35,0.46,30
2037,10,77,2021-04-25,0.23,0.69,0.85,14
2038,8,61,2020-07-25,0.92,0.22,0.8,6
2039,1,4,2021-03-26,0.62,0.45,0.81,18
2040,7,49,2025-02-02,0.85,0.46,0.92,47
2041,5,35,2023-08-02,0.7,0.27,0.76,9
2042,8,60,2025-05-02,0.95,0.61,0.77,38
2043,4,30,2025-01-05,0.92,0.93,0.32,76
2044,3,17,2024-03-13,0.57,0.64,0.93,112
2045,5,33,2025-10-24,0.37,0.41,0.52,4
2046,10,76,2020-11-08,0.57,0.81,0.48,6
2047,5,38,2020-03-11,0.24,0.33,0.78,20
2048,5,36,2020-01-25,0.5,0.52,0.92,8
2049,4,28,2022-10-08,0.9,0.64,0.71,3
2050,7,49,2024-07-19,0.4,0.13,0.67,26
2051,3,20,2022-10-12,0.42,0.83,0.74,44
2052,2,14,2024-08-30,0.81,0.65,0.6,22
2053,5,38,2022-12-01,0.72,0.82,0.71,48
2054,10,80,2024-12-26,0.66,0.86,0.37,11
2055,1,5,2020-12-08,0.78,0.72,0.77,12
2056,1,8,2022-04-27,0.21,0.78,0.45,8
2057,9,69,2020-02-08,0.94,0.21,0.46,37
2058,3,22,2020-07-27,0.67,0.69,0.64,81
2059,6,43,2024-03-14,0.68,0.79,0.76,56
2060,2,13,2022-12-21,0.97,0.42,0.34,32
2061,9,68,2025-06-13,0.69,0.68,0.65,6
2062,8,63,2024-10-22,0.36,0.42,0.8,24
2063,4,32,2020-08-20,0.74,0.9,0.93,11
2064,5,33,2024-03-07,0.31,0.3,0.34,1
2065,10,78,2023-11-22,0.63,0.31,0.73,13
2066,7,50,2021-08-14,0.74,0.88,0.92,32
2067,2,10,2023-06-01,0.3,0.44,0.92,3
2068,2,15,2024-11-17,0.47,0.13,0.59,5
2069,3,18,2021-09-02,0.93,0.44,0.55,0
2070,9,66,2022-12-16,0.42,0.37,0.87,54
2071,1,5,2020-08-07,0.47,0.77,0.4,5
2072,8,64,2020-03-29,0.56,0.95,0.91,40
2073,3,20,2020-11-17,0.39,0.67,0.69,154
2074,9,72,2022-02-10,0.36,0.49,0.65,12
2075,6,43,2023-12-14,0.58,0.12,0.93,11
2076,1,6,2022-11-24,0.91,0.36,0.84,25
2077,10,75,2023-05-29,0.44,0.59,0.34,46
2078,6,45,2024-12-08,0.38,0.88,0.74,4
2079,4,32,2024-02-25,0.44,0.35,0.37,75
2080,10,77,2022-08-22,0.99,0.19,0.83,23
2081,1,1,2021-12-31,0.6,0.83,0.7,2
2082,3,24,2023-06-30,0.76,0.83,0.58,43
2083,1,1,2022-10-11,0.56,0.9,0.88,2
2084,2,15,2025-10-27,0.39,0.24,0.88,83
2085,3,23,2023-04-11,0.98,0.26,0.73,18
2086,3,20,2023-03-30,0.75,0.19,0.83,29
2087,8,63,2021-07-27,0.52,0.93,0.84,63
2088,9,72,2021-01-13,0.76,0.61,0.64,1
2089,10,79,2024-08-12,0.5,0.46,0.81,17
2090,4,31,2023-06-01,0.41,0.29,0.84,23
2091,2,9,2021-09-03,0.93,0.44,0.53,61
2092,5,38,2021-06-27,0.91,0.75,0.78,79
2093,10,74,2025-05-23,0.99,0.28,0.9,5
2094,1,7,2021-06-23,0.4,0.23,0.51,11
2095,7,51,2020-11-09,0.91,0.19,0.66,56
2096,10,76,2023-03-16,0.72,0.45,0.81,8
2097,10,74,2020-08-06,0.29,0.86,0.58,57
2098,2,11,2021-02-13,0.55,0.3,0.89,43
2099,5,39,2022-05-20,0.83,0.49,0.61,2
2100,5,34,2024-12-15,0.5,0.82,0.93,25
2101,7,50,2020-02-20,0.31,0.12,0.76,14
2102,8,62,2024-07-03,0.49,0.91,0.31,1
2103,4,26,2021-11-18,0.35,0.83,0.89,2
2104,8,59,2025-01-16,0.9,0.79,0.59,7
2105,6,42,2020-10-16,0.82,0.64,0.71,56
2106,6,48,2020-05-14,0.31,0.65,0.62,11
2107,9,67,2022-08-05,0.26,0.82,0.43,8
2108,2,13,2021-05-26,0.35,0.71,0.71,12
2109,3,20,2024-11-09,0.45,0.47,0.94,36
2110,4,29,2021-10-22,0.52,0.36,0.54,31
2111,10,78,2023-12-09,0.67,0.57,0.84,38
2112,1,7,2024-04-12,0.73,0.69,0.94,12
2113,9,69,2023-03-16,0.57,0.61,0.63,23
2114,2,16,2022-11-30,0.75,0.53,0.47,59
2115,2,10,2024-01-13,0.83,0.2,0.63,5
2116,1,3,2024-06-11,0.62,0.73,0.4,30
2117,8,57,2020-12-06,0.61,0.56,0.91,7
2118,8,62,2025-10-03,0.87,0.8,0.54,14
2119,7,50,2023-07-23,0.24,0.66,0.88,8
2120,9,70,2025-07-04,0.83,0.77,0.93,41
2121,3,17,2023-06-11,0.85,0.6,0.77,67
2122,5,35,2025-09-27,0.74,0.94,0.77,85
2123,4,32,2020-02-02,0.42,0.76,0.59,7
2124,3,19,2022-08-09,0.32,0.58,0.83,8
2125,7,50,2020-02-26,0.49,0.54,0.89,22
2126,5,33,2021-05-19,0.56,0.81,0.47,15
2127,5,36,2020-05-19,0.4,0.67,0.41,11
2128,6,43,2021-07-01,0.31,0.63,0.8,57
2129,9,71,2024-05-09,0.63,0.67,0.66,4
2130,3,23,2022-05-22,0.59,0.13,0.3,1
2131,7,49,2020-05-04,0.65,0.78,0.66,1
2132,7,51,2022-12-05,0.71,0.21,0.94,12
2133,8,61,2024-03-27,0.91,0.3,0.52,10
2134,1,1,2022-06-02,0.7,0.21,0.51,27
2135,2,9,2021-08-02,0.81,0.12,0.66,24
2136,6,46,2021-02-12,0.74,0.34,0.38,8
2137,8,62,2022-05-17,0.78,0.73,0.68,53
2138,10,77,2022-04-30,0.99,0.84,0.91,53
2139,4,28,2020-09-13,0.88,0.36,0.6,8
2140,8,61,2024-03-11,0.96,0.77,0.31,12
2141,6,46,2020-07-09,0.92,0.9,0.57,113
2142,10,78,2020-06-03,0.39,0.1,0.77,89
2143,4,28,2020-06-05,0.91,0.38,0.84,23
2144,3,21,2024-04-01,0.38,0.27,0.92,28
2145,7,56,2025-10-20,0.9,0.85,0.8,94
2146,5,39,2023-08-07,0.3,0.67,0.37,89
2147,7,49,2020-05-26,0.84,0.4,0.73,50
2148,10,75,2022-09-16,0.51,0.31,0.69,23
2149,9,69,2021-02-09,0.6,0.59,0.8,10
2150,3,18,2022-03-06,0.97,0.7,0.4,32
2151,5,35,2020-04-27,0.97,0.52,0.6,42
2152,9,65,2025-08-06,0.78,0.35,0.5,15
2153,3,17,2025-06-30,0.84,0.46,0.83,0
2154,4,29,2022-05-23,0.86,0.34,0.53,14
2155,1,7,2021-03-27,0.82,0.58,0.5,1
2156,1,6,2023-09-30,0.48,0.74,0.77,0
2157,2,13,2024-04-29,0.97,0.91,0.91,4
2158,8,61,2020-08-16,0.32,0.56,0.81,1
2159,7,54,2020-01-13,0.8,0.6,0.52,32
2160,7,49,2023-03-23,0.69,0.73,0.41,56
2161,9,66,2022-02-18,0.7,0.7,0.66,14
2162,5,38,2022-08-03,0.29,0.67,0.47,67
2163,9,69,2024-05-23,0.91,0.59,0.66,33
2164,6,42,2024-08-31,0.65,0.81,0.56,43
2165,10,77,2023-03-12,0.43,0.75,0.35,15
2166,6,45,2023-04-20,0.3,0.51,0.46,42
2167,10,73,2022-02-13,0.4,0.3,0.85,25
2168,7,56,2021-12-16,0.82,0.56,0.61,12
2169,6,46,2022-05-02,0.96,0.77,0.71,7
2170,6,48,2022-01-05,0.71,0.39,0.88,5
2171,3,18,2020-04-14,0.81,0.49,0.33,13
2172,3,18,2025-07-05,0.88,0.61,0.45,15
2173,9,69,2022-05-08,0.55,0.65,0.88,6
2174,4,32,2022-12-25,0.36,0.44,0.49,61
2175,10,73,2022-07-20,0.88,0.42,0.6,4
2176,4,25,2021-07-06,0.48,0.49,0.44,105
2177,3,19,2020-10-24,0.92,0.12,0.51,8
2178,9,68,2023-04-21,0.82,0.55,0.72,5
2179,9,65,2022-12-10,0.52,0.31,0.55,3
2180,8,64,2020-08-18,0.26,0.14,0.91,15
